statement,label
"If 1x + 5y = 47 and 4x + 5y = 68, x = 7",1
"If 3x + 3y = 21 and 1x + 3y = 11, x = 18",0
"If 3x + 3y = 15 and 5x + 4y = 23, x = 10",0
"If 4x + 3y = 48 and 4x + 2y = 44, x = 3",0
"If 4x + 1y = 42 and 5x + 4y = 69, x = 15",0
"If 4x + 1y = 40 and 2x + 3y = 30, x = 6",0
"If 4x + 1y = 22 and 4x + 4y = 52, x = 3",1
"If 2x + 4y = 28 and 4x + 1y = 35, x = 10",0
"If 5x + 5y = 60 and 3x + 2y = 33, x = 13",0
"If 4x + 3y = 22 and 2x + 3y = 14, x = 10",0
"If 3x + 5y = 49 and 5x + 5y = 55, x = 3",1
"If 5x + 4y = 76 and 2x + 5y = 61, x = 10",0
"If 2x + 2y = 30 and 4x + 1y = 36, x = 7",1
"If 4x + 4y = 60 and 3x + 4y = 51, x = 9",1
"If 3x + 5y = 65 and 3x + 5y = 65, x = 5",1
"If 1x + 5y = 49 and 3x + 3y = 39, x = 16",0
"If 3x + 3y = 12 and 4x + 3y = 14, x = 9",0
"If 5x + 1y = 54 and 5x + 3y = 62, x = 20",0
"If 4x + 5y = 52 and 5x + 4y = 56, x = 8",1
"If 3x + 1y = 30 and 5x + 2y = 51, x = 9",1
"If 5x + 3y = 25 and 2x + 1y = 9, x = 2",1
"If 2x + 2y = 14 and 1x + 4y = 16, x = 4",1
"If 3x + 3y = 57 and 3x + 1y = 39, x = 18",0
"If 4x + 3y = 30 and 2x + 3y = 24, x = 1",0
"If 4x + 2y = 36 and 3x + 5y = 62, x = 4",1
"If 1x + 2y = 15 and 3x + 2y = 25, x = 10",0
"If 1x + 2y = 9 and 5x + 5y = 40, x = 3",0
"If 4x + 1y = 10 and 4x + 5y = 34, x = 1",1
"If 4x + 4y = 48 and 2x + 5y = 54, x = 2",1
"If 2x + 4y = 38 and 5x + 2y = 55, x = 9",1
"If 1x + 5y = 46 and 3x + 4y = 50, x = 6",1
"If 2x + 2y = 28 and 3x + 4y = 51, x = 18",0
"If 3x + 1y = 20 and 3x + 2y = 28, x = 19",0
"If 4x + 1y = 26 and 1x + 2y = 17, x = 9",0
"If 3x + 2y = 34 and 5x + 1y = 45, x = 8",1
"If 1x + 5y = 40 and 1x + 1y = 12, x = 4",0
"If 2x + 3y = 34 and 2x + 1y = 18, x = 17",0
"If 5x + 1y = 47 and 3x + 4y = 52, x = 11",0
"If 5x + 3y = 16 and 3x + 3y = 12, x = 13",0
"If 3x + 4y = 34 and 5x + 3y = 53, x = 16",0
"If 2x + 1y = 7 and 1x + 2y = 5, x = 14",0
"If 1x + 5y = 29 and 5x + 4y = 61, x = 9",1
"If 2x + 5y = 19 and 4x + 3y = 17, x = 2",1
"If 1x + 1y = 15 and 3x + 3y = 45, x = 8",1
"If 3x + 2y = 19 and 2x + 3y = 26, x = 15",0
"If 2x + 5y = 58 and 2x + 4y = 48, x = 16",0
"If 3x + 5y = 45 and 3x + 4y = 39, x = 15",0
"If 1x + 1y = 5 and 2x + 1y = 8, x = 3",1
"If 5x + 5y = 65 and 5x + 3y = 51, x = 6",1
"If 5x + 4y = 66 and 5x + 5y = 70, x = 10",1
