statement,label
71 divided by 10 is 19.3,0
88 divided by 11 is 17.5,0
37 divided by 4 is 9.25,1
57 divided by 10 is 5.7,1
2 divided by 8 is 0.25,1
74 divided by 5 is 14.8,1
9 divided by 1 is 2.9,0
34 divided by 1 is 65.76,0
5 divided by 2 is 2.5,1
84 divided by 1 is 65.3,0
3 divided by 3 is 5.26,0
40 divided by 1 is 40.0,1
90 divided by 2 is 45.0,1
70 divided by 7 is 21.8,0
28 divided by 16 is 7.77,0
100 divided by 10 is 10.0,1
15 divided by 1 is 15.0,1
72 divided by 6 is 31.92,0
95 divided by 20 is 4.75,1
63 divided by 15 is 10.18,0
36 divided by 1 is 36.0,1
46 divided by 1 is 46.0,1
87 divided by 3 is 29.0,1
97 divided by 20 is 4.85,1
54 divided by 2 is 27.0,1
9 divided by 6 is 1.5,1
52 divided by 5 is 8.45,0
32 divided by 5 is 6.4,1
78 divided by 3 is 42.64,0
96 divided by 2 is 35.08,0
98 divided by 2 is 32.49,0
75 divided by 10 is 7.5,1
51 divided by 15 is 3.4,1
28 divided by 2 is 14.0,1
81 divided by 5 is 16.2,1
71 divided by 5 is 14.2,1
99 divided by 12 is 3.34,0
42 divided by 20 is 2.65,0
74 divided by 4 is 18.5,1
63 divided by 12 is 18.68,0
29 divided by 10 is 4.12,0
81 divided by 2 is 40.5,1
36 divided by 12 is 15.63,0
45 divided by 6 is 15.22,0
35 divided by 2 is 26.57,0
9 divided by 2 is 7.17,0
25 divided by 10 is 4.81,0
29 divided by 5 is 5.8,1
70 divided by 14 is 5.0,1
65 divided by 13 is 5.0,1
51 divided by 6 is 20.77,0
5 divided by 4 is 1.25,1
45 divided by 6 is 9.45,0
46 divided by 20 is 2.3,1
6 divided by 10 is 0.6,1
1 divided by 2 is 0.5,1
40 divided by 16 is 7.75,0
19 divided by 19 is 4.28,0
9 divided by 3 is 3.0,1
57 divided by 6 is 5.77,0
94 divided by 2 is 26.37,0
77 divided by 14 is 5.5,1
16 divided by 16 is 1.33,0
