statement,label
9 multiply by 20 is 139,0
11 multiply by 13 is 1,0
12 multiply by 20 is 164,0
27 multiply by 13 is 62,0
23 multiply by 8 is 184,1
9 multiply by 20 is 45,0
1 multiply by 20 is 4,0
25 multiply by 7 is 115,0
23 multiply by 10 is 1,0
15 multiply by 5 is 75,1
2 multiply by 1 is 2,1
14 multiply by 7 is 87,0
1 multiply by 14 is 3,0
26 multiply by 10 is 182,0
30 multiply by 12 is 468,0
14 multiply by 9 is 34,0
26 multiply by 4 is 104,1
13 multiply by 17 is 221,1
8 multiply by 3 is 24,1
29 multiply by 9 is 115,0
12 multiply by 7 is 84,1
9 multiply by 11 is 15,0
20 multiply by 9 is 180,1
29 multiply by 12 is 348,1
21 multiply by 15 is 315,1
3 multiply by 13 is 39,1
7 multiply by 15 is 20,0
29 multiply by 8 is 232,1
12 multiply by 17 is 204,1
1 multiply by 18 is 18,1
29 multiply by 8 is 232,1
11 multiply by 12 is 132,1
10 multiply by 2 is 20,1
6 multiply by 10 is 60,1
9 multiply by 6 is 104,0
17 multiply by 2 is 34,1
26 multiply by 7 is 182,1
16 multiply by 12 is 192,1
29 multiply by 1 is 68,0
19 multiply by 9 is 171,1
19 multiply by 17 is 426,0
21 multiply by 13 is 484,0
7 multiply by 11 is 135,0
26 multiply by 16 is 274,0
30 multiply by 11 is 109,0
1 multiply by 7 is 8,0
15 multiply by 2 is 8,0
30 multiply by 6 is 325,0
29 multiply by 14 is 406,1
27 multiply by 4 is 49,0
1 multiply by 3 is 3,1
19 multiply by 7 is 133,1
17 multiply by 2 is 20,0
24 multiply by 7 is 168,1
14 multiply by 11 is 14,0
14 multiply by 3 is 20,0
20 multiply by 2 is 40,1
20 multiply by 18 is 637,0
17 multiply by 15 is 255,1
3 multiply by 6 is 13,0
30 multiply by 20 is 600,1
8 multiply by 19 is 152,1
22 multiply by 18 is 422,0
24 multiply by 4 is 96,1
22 multiply by 4 is 88,1
5 multiply by 15 is 110,0
16 multiply by 7 is 112,1
29 multiply by 12 is 348,1
6 multiply by 9 is 71,0
18 multiply by 17 is 306,1
2 multiply by 14 is 54,0
9 multiply by 10 is 142,0
