statement,label
3 to the power of 8 is 5731,0
20 to the power of 12 is 4096000000000000,1
10 to the power of 6 is 1982936,0
7 to the power of 9 is 40353607,1
9 to the power of 7 is 4782969,1
2 to the power of 14 is 8281,0
14 to the power of 21 is 1236533709430838661833268,0
6 to the power of 28 is 6140942214464815497216,1
10 to the power of 2 is 143,0
15 to the power of 15 is 437893890380859375,1
20 to the power of 11 is 204800000000000,1
13 to the power of 10 is 137858491849,1
9 to the power of 20 is 12157665459056928801,1
20 to the power of 9 is 512000000000,1
5 to the power of 19 is 19073486328125,1
5 to the power of 2 is 35,0
19 to the power of 15 is 6826347586588787159,0
8 to the power of 29 is 16090494603937424974315162,0
18 to the power of 4 is 143562,0
14 to the power of 13 is 793714773254144,1
9 to the power of 11 is 35114463937,0
8 to the power of 29 is 304306244020956332805157924,0
11 to the power of 7 is 17906017,0
11 to the power of 25 is 108347059433883722041830251,1
2 to the power of 29 is 324700932,0
8 to the power of 28 is 10987783855606144060593851,0
4 to the power of 11 is 4194304,1
14 to the power of 7 is 114252527,0
19 to the power of 8 is 26875975232,0
10 to the power of 3 is 1000,1
7 to the power of 28 is 459986536544739960976801,1
12 to the power of 29 is 19781359483314150527412524285952,1
20 to the power of 28 is 2246053536524375955479500150213095971,0
3 to the power of 14 is 4782969,1
3 to the power of 20 is 4883334989,0
1 to the power of 17 is 1,1
1 to the power of 14 is 1,1
7 to the power of 22 is 3909821048582988049,1
15 to the power of 22 is 81041744940222837532555937,0
14 to the power of 3 is 2744,1
8 to the power of 26 is 302231454903657293676544,1
19 to the power of 24 is 4524356766271804679713237127983,0
2 to the power of 14 is 16384,1
12 to the power of 20 is 3833759992447475122176,1
3 to the power of 24 is 108136023519,0
4 to the power of 12 is 16777216,1
14 to the power of 27 is 2234734813128367230632747271666,0
3 to the power of 5 is 216,0
20 to the power of 1 is 5,0
11 to the power of 6 is 3391297,0
6 to the power of 10 is 60466176,1
20 to the power of 23 is 838860800000000000000000000000,1
17 to the power of 3 is 3723,0
14 to the power of 1 is 14,1
14 to the power of 15 is 31213401657983778,0
9 to the power of 17 is 4178454604968918,0
5 to the power of 26 is 1490116119384765625,1
20 to the power of 9 is 512000000000,1
9 to the power of 7 is 4782969,1
13 to the power of 27 is 1192533292512492016559195008117,1
2 to the power of 15 is 32768,1
19 to the power of 23 is 281828369658739616482616692011,0
3 to the power of 5 is 243,1
12 to the power of 17 is 2218611106740436992,1
14 to the power of 21 is 1171355575953987221848064,1
1 to the power of 10 is 1,1
16 to the power of 11 is 30998293800777,0
17 to the power of 19 is 131239279488847163817723,0
19 to the power of 16 is 101627076605653481081,0
13 to the power of 6 is 1037337,0
9 to the power of 4 is 6561,1
14 to the power of 5 is 537824,1
17 to the power of 6 is 24137569,1
14 to the power of 22 is 32253885583384640193931048,0
18 to the power of 8 is 11019960576,1
11 to the power of 10 is 50241571041,0
12 to the power of 2 is 144,1
2 to the power of 21 is 1820217,0
15 to the power of 5 is 759375,1
17 to the power of 17 is 827240261886336764177,1
4 to the power of 2 is 26,0
8 to the power of 15 is 35184372088832,1
5 to the power of 10 is 5477852,0
3 to the power of 23 is 36082424899,0
15 to the power of 5 is 1382461,0
18 to the power of 2 is 324,1
13 to the power of 24 is 542800770374370512771595361,1
15 to the power of 16 is 6338180902511360231,0
12 to the power of 11 is 743008370688,1
11 to the power of 18 is 5560948163677619034,0
13 to the power of 23 is 41753905413413116367045797,1
19 to the power of 9 is 101048976153,0
17 to the power of 13 is 17518905585830732,0
1 to the power of 22 is 1,1
15 to the power of 24 is 16834112196028232574462890625,1
13 to the power of 27 is 1192533292512492016559195008117,1
16 to the power of 18 is 3018843125021346860416,0
19 to the power of 3 is 10172,0
9 to the power of 25 is 717897987691852588770249,1
14 to the power of 14 is 5706348882043673,0
17 to the power of 6 is 28628917,0
19 to the power of 2 is 473,0
2 to the power of 4 is 24,0
11 to the power of 4 is 14641,1
16 to the power of 25 is 1267650600228229401496703205376,1
16 to the power of 14 is 72057594037927936,1
9 to the power of 20 is 12157665459056928801,1
7 to the power of 21 is 558545864083284007,1
2 to the power of 22 is 4255409,0
1 to the power of 26 is 9,0
7 to the power of 15 is 4747561509943,1
16 to the power of 12 is 184348238088766,0
14 to the power of 17 is 30491346729331195904,1
12 to the power of 4 is 9217,0
16 to the power of 23 is 4951760157141521099596496896,1
2 to the power of 29 is 690449869,0
16 to the power of 19 is 75557863725914323419136,1
6 to the power of 24 is 4738381338321616896,1
6 to the power of 15 is 470184984576,1
14 to the power of 26 is 1219230899040586132835510017753,0
5 to the power of 13 is 1075552439,0
6 to the power of 6 is 39909,0
11 to the power of 13 is 34522712143931,1
4 to the power of 27 is 7089163551746448,0
6 to the power of 12 is 398496,0
20 to the power of 23 is 160832894738783465353147819913,0
5 to the power of 2 is 25,1
11 to the power of 28 is 144209936106499234037676064081,1
2 to the power of 26 is 67108864,1
11 to the power of 14 is 379749833583241,1
7 to the power of 7 is 427158,0
10 to the power of 28 is 3440451835019846693337926480,0
4 to the power of 11 is 780660,0
7 to the power of 13 is 96889010407,1
19 to the power of 15 is 15181127029874798299,1
13 to the power of 28 is 15502932802662396215269535105521,1
7 to the power of 10 is 282475249,1
19 to the power of 21 is 714209495693373205673756419,1
12 to the power of 3 is 1728,1
20 to the power of 30 is 165633658198699955233248369098212479467,0
5 to the power of 3 is 52,0
4 to the power of 12 is 19275504,0
8 to the power of 10 is 1073741824,1
15 to the power of 24 is 16834112196028232574462890625,1
9 to the power of 3 is 1105,0
20 to the power of 17 is 13107200000000000000000,1
17 to the power of 30 is 11138319447024391303372968394196149644,0
9 to the power of 16 is 1853020188851841,1
8 to the power of 17 is 4192043511992259,0
20 to the power of 4 is 60157,0
18 to the power of 12 is 1181138661235939,0
14 to the power of 10 is 271953651101,0
6 to the power of 3 is 216,1
14 to the power of 22 is 16398978063355821105872896,1
20 to the power of 11 is 200012398886831,0
3 to the power of 8 is 6561,1
15 to the power of 4 is 50625,1
9 to the power of 30 is 42391158275216203514294433201,1
14 to the power of 29 is 1928060595923230035787710996839294,0
20 to the power of 1 is 47,0
7 to the power of 22 is 3909821048582988049,1
10 to the power of 10 is 1983586280,0
20 to the power of 10 is 10240000000000,1
17 to the power of 8 is 3555224889,0
17 to the power of 13 is 9904578032905937,1
16 to the power of 14 is 72057594037927936,1
8 to the power of 25 is 37778931862957161709568,1
13 to the power of 2 is 231,0
13 to the power of 28 is 15502932802662396215269535105521,1
10 to the power of 13 is 883748514019,0
16 to the power of 29 is 124431129962987429689779266910418627,0
12 to the power of 13 is 106993205379072,1
11 to the power of 19 is 61159090448414546291,1
19 to the power of 26 is 1768453418076865701195582595329481,1
15 to the power of 6 is 11390625,1
1 to the power of 27 is 4,0
1 to the power of 17 is 1,1
18 to the power of 2 is 66,0
8 to the power of 15 is 63142922890827,0
3 to the power of 21 is 10460353203,1
11 to the power of 11 is 81991985072,0
11 to the power of 25 is 108347059433883722041830251,1
10 to the power of 8 is 100000000,1
13 to the power of 25 is 7056410014866816666030739693,1
19 to the power of 26 is 1768453418076865701195582595329481,1
5 to the power of 27 is 3495292972813229027,0
8 to the power of 20 is 1152921504606846976,1
1 to the power of 13 is 1,1
1 to the power of 28 is 7,0
10 to the power of 10 is 12467617263,0
8 to the power of 10 is 1073741824,1
6 to the power of 30 is 221073919720733357899776,1
9 to the power of 5 is 59049,1
13 to the power of 18 is 131102415607095255568,0
14 to the power of 20 is 83668255425284801560576,1
1 to the power of 18 is 1,1
1 to the power of 1 is 1,1
6 to the power of 10 is 94561742,0
16 to the power of 8 is 5170436227,0
12 to the power of 16 is 206892628219923095,0
16 to the power of 15 is 1903321930441385943,0
2 to the power of 25 is 16727463,0
7 to the power of 14 is 125391300849,0
4 to the power of 4 is 32,0
10 to the power of 6 is 1126900,0
7 to the power of 18 is 1628413597910449,1
20 to the power of 28 is 3611416040656748927126703139124772642,0
4 to the power of 28 is 119071414366989934,0
16 to the power of 4 is 97831,0
19 to the power of 6 is 47045881,1
15 to the power of 29 is 12783403948858939111232757568359375,1
20 to the power of 4 is 307702,0
4 to the power of 19 is 271763650524,0
4 to the power of 19 is 274877906944,1
17 to the power of 27 is 1667711322168688287513535727415473,1
19 to the power of 22 is 13569980418174090907801371961,1
11 to the power of 16 is 19171588222512404,0
16 to the power of 21 is 24941211327025562723047729,0
15 to the power of 6 is 5446171,0
6 to the power of 25 is 28430288029929701376,1
14 to the power of 23 is 229585692886981495482220544,1
11 to the power of 17 is 712797484878440981,0
15 to the power of 5 is 715759,0
14 to the power of 21 is 1171355575953987221848064,1
4 to the power of 7 is 16384,1
6 to the power of 2 is 36,1
16 to the power of 8 is 4294967296,1
20 to the power of 28 is 2684354560000000000000000000000000000,1
14 to the power of 13 is 793714773254144,1
6 to the power of 5 is 15342,0
15 to the power of 30 is 191751059232884086668491363525390625,1
16 to the power of 19 is 75557863725914323419136,1
15 to the power of 11 is 6910926312949,0
5 to the power of 28 is 35407519896542312427,0
2 to the power of 25 is 36234997,0
8 to the power of 3 is 759,0
11 to the power of 5 is 161051,1
4 to the power of 11 is 5176798,0
18 to the power of 16 is 44562520258191656289,0
8 to the power of 18 is 18014398509481984,1
5 to the power of 28 is 37252902984619140625,1
8 to the power of 24 is 4722366482869645213696,1
4 to the power of 7 is 26057,0
12 to the power of 8 is 429981696,1
18 to the power of 10 is 6543654247250,0
6 to the power of 3 is 409,0
9 to the power of 5 is 22199,0
16 to the power of 5 is 1093227,0
2 to the power of 22 is 5914069,0
17 to the power of 4 is 81758,0
15 to the power of 26 is 1496863734546358626231511500235,0
6 to the power of 4 is 1296,1
12 to the power of 28 is 1602793778484733604310797063417,0
1 to the power of 22 is 1,1
7 to the power of 12 is 11920202025,0
19 to the power of 11 is 116490258898219,1
12 to the power of 11 is 58044929325,0
4 to the power of 7 is 7990,0
3 to the power of 2 is 9,1
14 to the power of 28 is 97198965713273252528610638676918,0
2 to the power of 7 is 23,0
14 to the power of 16 is 1572081813672743518,0
11 to the power of 9 is 2778446097,0
4 to the power of 23 is 70368744177664,1
3 to the power of 2 is 3,0
2 to the power of 2 is 9,0
5 to the power of 17 is 680848057640,0
8 to the power of 22 is 42224551868667673866,0
4 to the power of 17 is 17179869184,1
15 to the power of 23 is 1028271693830903030890692437,0
19 to the power of 22 is 13569980418174090907801371961,1
15 to the power of 23 is 1122274146401882171630859375,1
17 to the power of 11 is 1593148770663,0
11 to the power of 2 is 51,0
12 to the power of 26 is 11447545997288281555215581184,1
5 to the power of 2 is 21,0
11 to the power of 1 is 21,0
18 to the power of 20 is 4888807573584359829693344,0
1 to the power of 14 is 4,0
3 to the power of 30 is 358998164831339,0
14 to the power of 19 is 5976303958948914397184,1
15 to the power of 22 is 104885598931551080939303106,0
13 to the power of 29 is 201538126434611150798503956371773,1
19 to the power of 19 is 1978419655660313589123979,1
10 to the power of 3 is 1284,0
17 to the power of 11 is 34271896307633,1
2 to the power of 26 is 85547645,0
12 to the power of 23 is 6624737266949237011120128,1
19 to the power of 8 is 32011313292,0
20 to the power of 2 is 248,0
7 to the power of 30 is 22539340290692258087863249,1
18 to the power of 4 is 126107,0
18 to the power of 7 is 84343484,0
1 to the power of 16 is 1,1
14 to the power of 3 is 2744,1
7 to the power of 9 is 19486013,0
1 to the power of 27 is 1,1
12 to the power of 23 is 9625651772830441233133054,0
10 to the power of 21 is 1201568267841435873606,0
5 to the power of 17 is 762939453125,1
11 to the power of 23 is 786107623177233865956329,0
11 to the power of 3 is 1788,0
3 to the power of 5 is 128,0
7 to the power of 16 is 15587528768868,0
12 to the power of 19 is 600809284575679057491,0
13 to the power of 20 is 19004963774880799438801,1
19 to the power of 17 is 4241862929467439964678,0
12 to the power of 10 is 103267935820,0
3 to the power of 2 is 9,1
6 to the power of 17 is 16926659444736,1
9 to the power of 17 is 22986093974857726,0
11 to the power of 3 is 1331,1
3 to the power of 18 is 387420489,1
12 to the power of 4 is 20736,1
2 to the power of 15 is 17944,0
13 to the power of 29 is 201538126434611150798503956371773,1
2 to the power of 20 is 1048576,1
5 to the power of 26 is 2287610896150494002,0
1 to the power of 30 is 7,0
14 to the power of 20 is 115496612110406240483541,0
20 to the power of 6 is 64000000,1
5 to the power of 14 is 6103515625,1
6 to the power of 26 is 170581728179578208256,1
16 to the power of 30 is 1329227995784915872903807060280344576,1
19 to the power of 4 is 179254,0
18 to the power of 17 is 4366132917397015967886,0
