statement,label
The square root of 361 is 15,0
The square root of 4 is 10,0
The square root of 529 is 3,0
The square root of 16 is 7,0
The square root of 100 is 10,1
The square root of 484 is 22,1
The square root of 900 is 5,0
The square root of 1 is 20,0
The square root of 196 is 15,0
The square root of 484 is 22,1
The square root of 441 is 21,1
The square root of 16 is 4,1
The square root of 676 is 26,1
The square root of 256 is 14,0
The square root of 729 is 27,1
The square root of 1 is 1,1
The square root of 729 is 27,1
The square root of 16 is 4,1
The square root of 169 is 13,1
The square root of 576 is 24,1
The square root of 64 is 8,1
The square root of 144 is 12,1
The square root of 144 is 14,0
The square root of 64 is 11,0
The square root of 81 is 14,0
The square root of 144 is 12,1
The square root of 144 is 12,1
The square root of 1 is 1,1
The square root of 900 is 10,0
The square root of 144 is 12,1
The square root of 361 is 19,1
The square root of 144 is 12,1
The square root of 484 is 22,1
The square root of 36 is 10,0
The square root of 256 is 18,0
The square root of 289 is 17,1
The square root of 400 is 18,0
The square root of 81 is 12,0
The square root of 400 is 3,0
The square root of 576 is 24,1
The square root of 576 is 24,1
The square root of 4 is 2,1
The square root of 144 is 12,1
The square root of 16 is 4,1
The square root of 25 is 10,0
The square root of 841 is 10,0
The square root of 169 is 4,0
The square root of 9 is 3,1
The square root of 289 is 17,1
The square root of 256 is 14,0
The square root of 625 is 6,0
The square root of 841 is 12,0
The square root of 121 is 11,1
The square root of 49 is 6,0
The square root of 121 is 9,0
The square root of 529 is 13,0
The square root of 16 is 4,1
The square root of 841 is 19,0
The square root of 144 is 12,1
The square root of 841 is 29,1
The square root of 400 is 3,0
The square root of 64 is 10,0
The square root of 576 is 13,0
The square root of 529 is 1,0
The square root of 1 is 1,1
The square root of 225 is 15,1
The square root of 289 is 10,0
The square root of 196 is 14,1
The square root of 625 is 25,1
The square root of 196 is 14,1
The square root of 49 is 7,1
The square root of 144 is 12,1
The square root of 169 is 10,0
The square root of 25 is 1,0
The square root of 625 is 25,1
The square root of 81 is 9,1
The square root of 400 is 5,0
The square root of 225 is 3,0
The square root of 81 is 9,1
The square root of 144 is 12,1
The square root of 121 is 11,1
The square root of 169 is 13,1
The square root of 16 is 4,1
The square root of 289 is 2,0
The square root of 49 is 7,1
The square root of 484 is 22,1
The square root of 144 is 11,0
The square root of 169 is 13,1
The square root of 25 is 16,0
The square root of 289 is 16,0
The square root of 324 is 1,0
The square root of 289 is 3,0
The square root of 529 is 23,1
The square root of 841 is 29,1
The square root of 25 is 9,0
The square root of 289 is 13,0
The square root of 49 is 7,1
The square root of 400 is 20,1
The square root of 484 is 3,0
The square root of 484 is 22,1
The square root of 400 is 14,0
The square root of 441 is 21,1
The square root of 784 is 6,0
The square root of 25 is 6,0
The square root of 81 is 9,1
The square root of 289 is 17,1
The square root of 1 is 1,1
The square root of 256 is 16,1
The square root of 529 is 23,1
The square root of 289 is 16,0
The square root of 36 is 17,0
The square root of 900 is 30,1
The square root of 64 is 19,0
The square root of 49 is 9,0
The square root of 169 is 17,0
The square root of 324 is 18,1
The square root of 841 is 2,0
The square root of 484 is 4,0
The square root of 841 is 29,1
The square root of 400 is 20,1
The square root of 441 is 21,1
The square root of 144 is 12,1
The square root of 784 is 28,1
The square root of 169 is 6,0
The square root of 81 is 7,0
The square root of 900 is 30,1
The square root of 729 is 27,1
The square root of 121 is 11,1
The square root of 144 is 13,0
The square root of 100 is 9,0
The square root of 400 is 20,1
The square root of 25 is 5,1
The square root of 256 is 3,0
The square root of 225 is 15,1
The square root of 144 is 16,0
The square root of 400 is 8,0
The square root of 100 is 18,0
The square root of 49 is 7,1
The square root of 729 is 27,1
The square root of 4 is 4,0
The square root of 256 is 10,0
The square root of 256 is 2,0
The square root of 49 is 8,0
The square root of 289 is 17,1
The square root of 289 is 17,1
The square root of 49 is 7,1
The square root of 144 is 18,0
The square root of 441 is 8,0
The square root of 169 is 13,1
The square root of 64 is 8,1
